-0.5963130E+01 -0.5598630E+01 -0.5234149E+01 -0.4869653E+01 -0.4505136E+01 -0.4140598E+01 -0.3776042E+01 -0.3411468E+01 -0.3046877E+01 -0.2682273E+01 -0.2317655E+01 -0.1953025E+01 -0.1588385E+01 -0.1223736E+01 -0.8590799E+00 -0.4944178E+00 -0.1297513E+00  0.2349176E+00  0.5995844E+00  0.9642379E+00  0.1619359E+00  0.1382067E+00  0.1112525E+00  0.8688083E-01  0.6604897E-01  0.4862018E-01  0.3435371E-01  0.2300600E-01  0.1433461E-01  0.8097789E-02  0.4054033E-02  0.1961874E-02  0.1579758E-02  0.2666006E-02  0.4978807E-02  0.8276100E-02  0.1231000E-01  0.1675895E-01  0.2084846E-01  0.2272273E-01
-0.5962954E+01 -0.5598479E+01 -0.5234028E+01 -0.4869559E+01 -0.4505064E+01 -0.4140545E+01 -0.3776004E+01 -0.3411443E+01 -0.3046862E+01 -0.2682264E+01 -0.2317650E+01 -0.1953023E+01 -0.1588383E+01 -0.1223733E+01 -0.8590745E+00 -0.4944088E+00 -0.1297379E+00  0.2349359E+00  0.5996072E+00  0.9642627E+00  0.1766728E+00  0.1507565E+00  0.1213484E+00  0.9476537E-01  0.7204410E-01  0.5303440E-01  0.3747353E-01  0.2509588E-01  0.1563717E-01  0.8833864E-02  0.4422677E-02  0.2140328E-02  0.1723399E-02  0.2908299E-02  0.5431268E-02  0.9028243E-02  0.1342880E-01  0.1828213E-01  0.2274347E-01  0.2478937E-01
-0.5962762E+01 -0.5598316E+01 -0.5233897E+01 -0.4869456E+01 -0.4504986E+01 -0.4140488E+01 -0.3775964E+01 -0.3411415E+01 -0.3046845E+01 -0.2682254E+01 -0.2317645E+01 -0.1953020E+01 -0.1588381E+01 -0.1223730E+01 -0.8590686E+00 -0.4943990E+00 -0.1297234E+00  0.2349557E+00  0.5996318E+00  0.9642896E+00  0.1914097E+00  0.1632995E+00  0.1314381E+00  0.1026455E+00  0.7803639E-01  0.5744692E-01  0.4059242E-01  0.2718532E-01  0.1693958E-01  0.9569917E-02  0.4791347E-02  0.2318808E-02  0.1867046E-02  0.3150575E-02  0.5883686E-02  0.9780327E-02  0.1454754E-01  0.1980524E-01  0.2463841E-01  0.2685629E-01
-0.5962556E+01 -0.5598140E+01 -0.5233755E+01 -0.4869345E+01 -0.4504902E+01 -0.4140426E+01 -0.3775920E+01 -0.3411386E+01 -0.3046827E+01 -0.2682244E+01 -0.2317640E+01 -0.1953018E+01 -0.1588379E+01 -0.1223727E+01 -0.8590622E+00 -0.4943885E+00 -0.1297077E+00  0.2349770E+00  0.5996584E+00  0.9643185E+00  0.2061460E+00  0.1758348E+00  0.1415206E+00  0.1105206E+00  0.8402554E-01  0.6185759E-01  0.4371032E-01  0.2927430E-01  0.1824181E-01  0.1030595E-01  0.5160045E-02  0.2497317E-02  0.2010701E-02  0.3392829E-02  0.6336060E-02  0.1053235E-01  0.1566619E-01  0.2132825E-01  0.2653329E-01  0.2892352E-01
-0.5962335E+01 -0.5597952E+01 -0.5233604E+01 -0.4869227E+01 -0.4504812E+01 -0.4140360E+01 -0.3775873E+01 -0.3411355E+01 -0.3046807E+01 -0.2682233E+01 -0.2317635E+01 -0.1953015E+01 -0.1588377E+01 -0.1223723E+01 -0.8590554E+00 -0.4943772E+00 -0.1296909E+00  0.2349999E+00  0.5996868E+00  0.9643495E+00  0.2208812E+00  0.1883613E+00  0.1515952E+00  0.1183904E+00  0.9001127E-01  0.6626624E-01  0.4682712E-01  0.3136277E-01  0.1954386E-01  0.1104195E-01  0.5528773E-02  0.2675858E-02  0.2154363E-02  0.3635062E-02  0.6788385E-02  0.1128430E-01  0.1678477E-01  0.2285117E-01  0.2842809E-01  0.3099109E-01
-0.5962100E+01 -0.5597751E+01 -0.5233442E+01 -0.4869101E+01 -0.4504716E+01 -0.4140289E+01 -0.3775823E+01 -0.3411321E+01 -0.3046786E+01 -0.2682221E+01 -0.2317629E+01 -0.1953012E+01 -0.1588375E+01 -0.1223719E+01 -0.8590482E+00 -0.4943652E+00 -0.1296730E+00  0.2350243E+00  0.5997171E+00  0.9643826E+00  0.2356144E+00  0.2008781E+00  0.1616611E+00  0.1262542E+00  0.9599327E-01  0.7067270E-01  0.4994276E-01  0.3345068E-01  0.2084571E-01  0.1177793E-01  0.5897535E-02  0.2854432E-02  0.2298033E-02  0.3877271E-02  0.7240659E-02  0.1203618E-01  0.1790326E-01  0.2437399E-01  0.3032282E-01  0.3305901E-01
-0.5961849E+01 -0.5597538E+01 -0.5233270E+01 -0.4868967E+01 -0.4504614E+01 -0.4140214E+01 -0.3775770E+01 -0.3411286E+01 -0.3046764E+01 -0.2682209E+01 -0.2317622E+01 -0.1953009E+01 -0.1588372E+01 -0.1223715E+01 -0.8590405E+00 -0.4943524E+00 -0.1296540E+00  0.2350502E+00  0.5997493E+00  0.9644177E+00  0.2503452E+00  0.2133841E+00  0.1717175E+00  0.1341116E+00  0.1019712E+00  0.7507680E-01  0.5305713E-01  0.3553801E-01  0.2214735E-01  0.1251387E-01  0.6266331E-02  0.3033042E-02  0.2441712E-02  0.4119455E-02  0.7692877E-02  0.1278798E-01  0.1902166E-01  0.2589670E-01  0.3221748E-01  0.3512733E-01
-0.5961584E+01 -0.5597312E+01 -0.5233088E+01 -0.4868825E+01 -0.4504506E+01 -0.4140135E+01 -0.3775714E+01 -0.3411248E+01 -0.3046741E+01 -0.2682195E+01 -0.2317616E+01 -0.1953006E+01 -0.1588370E+01 -0.1223711E+01 -0.8590324E+00 -0.4943388E+00 -0.1296339E+00  0.2350776E+00  0.5997834E+00  0.9644549E+00  0.2650728E+00  0.2258784E+00  0.1817638E+00  0.1419621E+00  0.1079449E+00  0.7947838E-01  0.5617015E-01  0.3762471E-01  0.2344876E-01  0.1324979E-01  0.6635165E-02  0.3211691E-02  0.2585401E-02  0.4361611E-02  0.8145035E-02  0.1353970E-01  0.2013996E-01  0.2741930E-01  0.3411206E-01  0.3719606E-01
-0.5961304E+01 -0.5597073E+01 -0.5232897E+01 -0.4868675E+01 -0.4504392E+01 -0.4140051E+01 -0.3775655E+01 -0.3411208E+01 -0.3046716E+01 -0.2682181E+01 -0.2317609E+01 -0.1953003E+01 -0.1588367E+01 -0.1223706E+01 -0.8590238E+00 -0.4943245E+00 -0.1296126E+00  0.2351065E+00  0.5998194E+00  0.9644941E+00  0.2797966E+00  0.2383598E+00  0.1917990E+00  0.1498052E+00  0.1139139E+00  0.8387728E-01  0.5928174E-01  0.3971075E-01  0.2474994E-01  0.1398567E-01  0.7004039E-02  0.3390380E-02  0.2729099E-02  0.4603740E-02  0.8597132E-02  0.1429133E-01  0.2125815E-01  0.2894177E-01  0.3600655E-01  0.3926524E-01
-0.5961010E+01 -0.5596822E+01 -0.5232695E+01 -0.4868517E+01 -0.4504272E+01 -0.4139962E+01 -0.3775592E+01 -0.3411167E+01 -0.3046690E+01 -0.2682167E+01 -0.2317601E+01 -0.1952999E+01 -0.1588364E+01 -0.1223701E+01 -0.8590147E+00 -0.4943095E+00 -0.1295902E+00  0.2351370E+00  0.5998573E+00  0.9645355E+00  0.2945159E+00  0.2508274E+00  0.2018224E+00  0.1576404E+00  0.1198781E+00  0.8827332E-01  0.6239182E-01  0.4179608E-01  0.2605086E-01  0.1472152E-01  0.7372955E-02  0.3569112E-02  0.2872808E-02  0.4845838E-02  0.9049163E-02  0.1504287E-01  0.2237624E-01  0.3046413E-01  0.3790096E-01  0.4133488E-01
