 0.1020000E+00 -0.3658100E+01 -0.3084628E+01 -0.2509603E+01 -0.1934708E+01 -0.1359839E+01 -0.7849275E+00 -0.2099598E+00  0.3650606E+00  0.9400850E+00  0.1515084E+01  0.2090137E+01  0.2663368E+01
 0.1040000E+00 -0.3657942E+01 -0.3084522E+01 -0.2509496E+01 -0.1934602E+01 -0.1359737E+01 -0.7848275E+00 -0.2098595E+00  0.3651632E+00  0.9401902E+00  0.1515191E+01  0.2090247E+01  0.2663417E+01
 0.1060000E+00 -0.3657782E+01 -0.3084414E+01 -0.2509386E+01 -0.1934495E+01 -0.1359633E+01 -0.7847256E+00 -0.2097573E+00  0.3652679E+00  0.9402975E+00  0.1515300E+01  0.2090359E+01  0.2663468E+01
 0.1080000E+00 -0.3657619E+01 -0.3084304E+01 -0.2509274E+01 -0.1934385E+01 -0.1359528E+01 -0.7846218E+00 -0.2096531E+00  0.3653745E+00  0.9404068E+00  0.1515411E+01  0.2090472E+01  0.2663520E+01
 0.1100000E+00 -0.3657453E+01 -0.3084191E+01 -0.2509160E+01 -0.1934274E+01 -0.1359420E+01 -0.7845160E+00 -0.2095470E+00  0.3654831E+00  0.9405181E+00  0.1515524E+01  0.2090588E+01  0.2663574E+01
 0.1120000E+00 -0.3657285E+01 -0.3084077E+01 -0.2509043E+01 -0.1934160E+01 -0.1359310E+01 -0.7844084E+00 -0.2094390E+00  0.3655936E+00  0.9406314E+00  0.1515639E+01  0.2090706E+01  0.2663629E+01
 0.1140000E+00 -0.3657115E+01 -0.3083960E+01 -0.2508925E+01 -0.1934045E+01 -0.1359198E+01 -0.7842988E+00 -0.2093291E+00  0.3657061E+00  0.9407468E+00  0.1515756E+01  0.2090825E+01  0.2663686E+01
 0.1160000E+00 -0.3656942E+01 -0.3083842E+01 -0.2508805E+01 -0.1933927E+01 -0.1359085E+01 -0.7841874E+00 -0.2092173E+00  0.3658206E+00  0.9408641E+00  0.1515875E+01  0.2090947E+01  0.2663744E+01
 0.1180000E+00 -0.3656766E+01 -0.3083721E+01 -0.2508683E+01 -0.1933808E+01 -0.1358969E+01 -0.7840740E+00 -0.2091035E+00  0.3659370E+00  0.9409835E+00  0.1515996E+01  0.2091071E+01  0.2663804E+01
 0.1200000E+00 -0.3656588E+01 -0.3083598E+01 -0.2508558E+01 -0.1933686E+01 -0.1358852E+01 -0.7839587E+00 -0.2089879E+00  0.3660554E+00  0.9411049E+00  0.1516120E+01  0.2091197E+01  0.2663865E+01
 0.1220000E+00 -0.3656408E+01 -0.3083473E+01 -0.2508432E+01 -0.1933562E+01 -0.1358732E+01 -0.7838415E+00 -0.2088703E+00  0.3661757E+00  0.9412282E+00  0.1516245E+01  0.2091325E+01  0.2663928E+01
 0.1240000E+00 -0.3656226E+01 -0.3083346E+01 -0.2508303E+01 -0.1933437E+01 -0.1358611E+01 -0.7837223E+00 -0.2087508E+00  0.3662980E+00  0.9413537E+00  0.1516372E+01  0.2091455E+01  0.2663993E+01
 0.1260000E+00 -0.3656041E+01 -0.3083217E+01 -0.2508173E+01 -0.1933309E+01 -0.1358488E+01 -0.7836013E+00 -0.2086293E+00  0.3664223E+00  0.9414811E+00  0.1516502E+01  0.2091587E+01  0.2664059E+01
 0.1280000E+00 -0.3655853E+01 -0.3083086E+01 -0.2508040E+01 -0.1933180E+01 -0.1358362E+01 -0.7834784E+00 -0.2085060E+00  0.3665485E+00  0.9416105E+00  0.1516633E+01  0.2091720E+01  0.2664127E+01
 0.1300000E+00 -0.3655664E+01 -0.3082952E+01 -0.2507905E+01 -0.1933048E+01 -0.1358235E+01 -0.7833535E+00 -0.2083808E+00  0.3666767E+00  0.9417420E+00  0.1516767E+01  0.2091856E+01  0.2664197E+01
