 0.7600000E-01 -0.3637224E+01 -0.2945595E+01 -0.2249631E+01 -0.1550717E+01 -0.8495638E+00 -0.1472303E+00  0.5553801E+00  0.1257249E+01  0.1957436E+01  0.2655136E+01
 0.7800000E-01 -0.3635918E+01 -0.2944868E+01 -0.2249255E+01 -0.1550540E+01 -0.8494690E+00 -0.1471564E+00  0.5554477E+00  0.1257272E+01  0.1957326E+01  0.2654766E+01
 0.8000000E-01 -0.3634580E+01 -0.2944122E+01 -0.2248869E+01 -0.1550358E+01 -0.8493718E+00 -0.1470805E+00  0.5555171E+00  0.1257296E+01  0.1957214E+01  0.2654386E+01
 0.8200000E-01 -0.3633211E+01 -0.2943358E+01 -0.2248474E+01 -0.1550172E+01 -0.8492721E+00 -0.1470028E+00  0.5555882E+00  0.1257320E+01  0.1957100E+01  0.2653998E+01
 0.8400000E-01 -0.3631810E+01 -0.2942576E+01 -0.2248070E+01 -0.1549981E+01 -0.8491700E+00 -0.1469232E+00  0.5556610E+00  0.1257344E+01  0.1956982E+01  0.2653601E+01
 0.8600000E-01 -0.3630377E+01 -0.2941777E+01 -0.2247656E+01 -0.1549786E+01 -0.8490655E+00 -0.1468417E+00  0.5557355E+00  0.1257370E+01  0.1956863E+01  0.2653195E+01
 0.8800000E-01 -0.3628913E+01 -0.2940960E+01 -0.2247233E+01 -0.1549586E+01 -0.8489585E+00 -0.1467583E+00  0.5558118E+00  0.1257395E+01  0.1956740E+01  0.2652781E+01
 0.9000000E-01 -0.3627418E+01 -0.2940125E+01 -0.2246800E+01 -0.1549382E+01 -0.8488490E+00 -0.1466730E+00  0.5558898E+00  0.1257422E+01  0.1956615E+01  0.2652357E+01
 0.9200000E-01 -0.3625892E+01 -0.2939273E+01 -0.2246358E+01 -0.1549173E+01 -0.8487372E+00 -0.1465859E+00  0.5559694E+00  0.1257449E+01  0.1956488E+01  0.2651926E+01
 0.9400000E-01 -0.3624334E+01 -0.2938403E+01 -0.2245907E+01 -0.1548960E+01 -0.8486229E+00 -0.1464968E+00  0.5560508E+00  0.1257477E+01  0.1956358E+01  0.2651485E+01
 0.9600000E-01 -0.3622747E+01 -0.2937515E+01 -0.2245446E+01 -0.1548742E+01 -0.8485062E+00 -0.1464059E+00  0.5561340E+00  0.1257505E+01  0.1956225E+01  0.2651036E+01
 0.9800000E-01 -0.3621128E+01 -0.2936610E+01 -0.2244977E+01 -0.1548520E+01 -0.8483870E+00 -0.1463130E+00  0.5562188E+00  0.1257534E+01  0.1956090E+01  0.2650579E+01
 0.1000000E+00 -0.3619480E+01 -0.2935688E+01 -0.2244498E+01 -0.1548294E+01 -0.8482654E+00 -0.1462183E+00  0.5563053E+00  0.1257564E+01  0.1955953E+01  0.2650113E+01
 0.1020000E+00 -0.3617801E+01 -0.2934748E+01 -0.2244010E+01 -0.1548063E+01 -0.8481413E+00 -0.1461217E+00  0.5563936E+00  0.1257594E+01  0.1955813E+01  0.2649639E+01
 0.1040000E+00 -0.3616093E+01 -0.2933792E+01 -0.2243512E+01 -0.1547827E+01 -0.8480148E+00 -0.1460232E+00  0.5564836E+00  0.1257625E+01  0.1955671E+01  0.2649156E+01
 0.1060000E+00 -0.3614354E+01 -0.2932818E+01 -0.2243006E+01 -0.1547587E+01 -0.8478859E+00 -0.1459228E+00  0.5565752E+00  0.1257656E+01  0.1955526E+01  0.2648666E+01
 0.1080000E+00 -0.3612587E+01 -0.2931827E+01 -0.2242490E+01 -0.1547342E+01 -0.8477545E+00 -0.1458205E+00  0.5566686E+00  0.1257688E+01  0.1955379E+01  0.2648167E+01
 0.1100000E+00 -0.3610790E+01 -0.2930818E+01 -0.2241965E+01 -0.1547093E+01 -0.8476207E+00 -0.1457164E+00  0.5567637E+00  0.1257721E+01  0.1955229E+01  0.2647660E+01
 0.1120000E+00 -0.3608964E+01 -0.2929793E+01 -0.2241431E+01 -0.1546840E+01 -0.8474844E+00 -0.1456103E+00  0.5568605E+00  0.1257755E+01  0.1955078E+01  0.2647145E+01
 0.1140000E+00 -0.3607109E+01 -0.2928752E+01 -0.2240888E+01 -0.1546582E+01 -0.8473457E+00 -0.1455024E+00  0.5569590E+00  0.1257789E+01  0.1954923E+01  0.2646622E+01
 0.1160000E+00 -0.3605226E+01 -0.2927693E+01 -0.2240336E+01 -0.1546320E+01 -0.8472046E+00 -0.1453925E+00  0.5570592E+00  0.1257824E+01  0.1954767E+01  0.2646091E+01
 0.1180000E+00 -0.3603314E+01 -0.2926617E+01 -0.2239775E+01 -0.1546053E+01 -0.8470610E+00 -0.1452808E+00  0.5571611E+00  0.1257859E+01  0.1954608E+01  0.2645553E+01
 0.1200000E+00 -0.3601375E+01 -0.2925525E+01 -0.2239205E+01 -0.1545782E+01 -0.8469150E+00 -0.1451672E+00  0.5572647E+00  0.1257895E+01  0.1954447E+01  0.2645006E+01
 0.1220000E+00 -0.3599407E+01 -0.2924417E+01 -0.2238626E+01 -0.1545506E+01 -0.8467665E+00 -0.1450518E+00  0.5573700E+00  0.1257932E+01  0.1954284E+01  0.2644452E+01
