-0.9147285E+00  0.3255766E+01  0.4726943E+00 -0.6308986E-01
-0.3016226E+00 -0.3255977E+01  0.4426320E+00  0.6129406E-01
-0.3018071E+00 -0.2525932E+01  0.4415305E+00  0.6148328E-01
-0.3019156E+00 -0.1789677E+01  0.4410984E+00  0.1363414E-01
-0.3019412E+00 -0.1068352E+01  0.4409786E+00  0.3767823E-02
-0.3019489E+00 -0.3552681E+00  0.4409593E+00  0.9043455E-03
-0.3019489E+00  0.3552681E+00  0.4409593E+00 -0.9043455E-03
-0.3019412E+00  0.1068352E+01  0.4409786E+00 -0.3767823E-02
-0.3019156E+00  0.1789677E+01  0.4410984E+00 -0.1363414E-01
-0.3018071E+00  0.2525932E+01  0.4415305E+00 -0.6148328E-01
-0.3016226E+00  0.3255977E+01  0.4426320E+00 -0.6129406E-01
 0.3515080E+00 -0.3256118E+01  0.3670912E+00  0.5912926E-01
 0.3513549E+00 -0.2526095E+01  0.3661145E+00  0.6079006E-01
 0.3512521E+00 -0.1789709E+01  0.3657617E+00  0.1345321E-01
 0.3512312E+00 -0.1068359E+01  0.3656571E+00  0.3732089E-02
 0.3512255E+00 -0.3552694E+00  0.3656383E+00  0.8995864E-03
 0.3512255E+00  0.3552694E+00  0.3656383E+00 -0.8995864E-03
 0.3512312E+00  0.1068359E+01  0.3656571E+00 -0.3732089E-02
 0.3512521E+00  0.1789709E+01  0.3657617E+00 -0.1345321E-01
 0.3513549E+00  0.2526095E+01  0.3661145E+00 -0.6079006E-01
 0.3515080E+00  0.3256118E+01  0.3670912E+00 -0.5912926E-01
 0.1059524E+01 -0.3256354E+01  0.2959281E+00  0.5715465E-01
 0.1059320E+01 -0.2526274E+01  0.2952280E+00  0.6004476E-01
 0.1059249E+01 -0.1789745E+01  0.2950751E+00  0.1327590E-01
 0.1059232E+01 -0.1068368E+01  0.2950060E+00  0.3692379E-02
 0.1059228E+01 -0.3552714E+00  0.2949910E+00  0.8924661E-03
 0.1059228E+01  0.3552714E+00  0.2949910E+00 -0.8924661E-03
 0.1059232E+01  0.1068368E+01  0.2950060E+00 -0.3692379E-02
 0.1059249E+01  0.1789745E+01  0.2950751E+00 -0.1327590E-01
 0.1059320E+01  0.2526274E+01  0.2952280E+00 -0.6004476E-01
 0.1059524E+01  0.3256354E+01  0.2959281E+00 -0.5715465E-01
 0.1903333E+01 -0.3257120E+01  0.1708899E+00  0.5673315E-01
 0.1903534E+01 -0.2526485E+01  0.1724976E+00  0.6044305E-01
 0.1903226E+01 -0.1789822E+01  0.1727527E+00  0.1326888E-01
 0.1903209E+01 -0.1068392E+01  0.1727879E+00  0.3714096E-02
 0.1903222E+01 -0.3552767E+00  0.1728277E+00  0.9046808E-03
 0.1903222E+01  0.3552767E+00  0.1728277E+00 -0.9046808E-03
 0.1903209E+01  0.1068392E+01  0.1727879E+00 -0.3714096E-02
 0.1903226E+01  0.1789822E+01  0.1727527E+00 -0.1326888E-01
 0.1903534E+01  0.2526485E+01  0.1724976E+00 -0.6044305E-01
 0.1903333E+01  0.3257120E+01  0.1708899E+00 -0.5673315E-01
 0.3012774E+01 -0.3259397E+01  0.2350712E+00  0.1010693E+00
 0.2976243E+01 -0.2526920E+01  0.1346526E+00  0.6163060E-01
 0.2981427E+01 -0.1790127E+01  0.1486023E+00  0.1337165E-01
 0.2981419E+01 -0.1068481E+01  0.1494067E+00  0.3952064E-02
 0.2981030E+01 -0.3552971E+00  0.1483805E+00  0.9869077E-03
 0.2981030E+01  0.3552971E+00  0.1483805E+00 -0.9869077E-03
 0.2981419E+01  0.1068481E+01  0.1494067E+00 -0.3952064E-02
 0.2981427E+01  0.1790127E+01  0.1486023E+00 -0.1337165E-01
