 0.9200000E-01 -0.4270117E+00 -0.3591445E+00 -0.2809997E+00 -0.1908870E+00 -0.9263464E-01  0.5281269E-02  0.9448198E-01  0.1713656E+00  0.2378397E+00  0.2988929E+00  0.3594500E+00  0.4221635E+00  0.4869727E+00
 0.9400000E-01 -0.4359760E+00 -0.3666658E+00 -0.2868866E+00 -0.1949070E+00 -0.9460899E-01  0.5389702E-02  0.9653340E-01  0.1751002E+00  0.2429961E+00  0.3053028E+00  0.3670650E+00  0.4310399E+00  0.4971973E+00
 0.9600000E-01 -0.4449228E+00 -0.3741706E+00 -0.2927604E+00 -0.1989193E+00 -0.9658077E-01  0.5498046E-02  0.9858472E-01  0.1788350E+00  0.2481516E+00  0.3117089E+00  0.3746702E+00  0.4398985E+00  0.5073983E+00
 0.9800000E-01 -0.4538519E+00 -0.3816586E+00 -0.2986208E+00 -0.2029236E+00 -0.9854990E-01  0.5606323E-02  0.1006359E+00  0.1825699E+00  0.2533062E+00  0.3181109E+00  0.3822656E+00  0.4487388E+00  0.5175754E+00
 0.1000000E+00 -0.4627630E+00 -0.3891298E+00 -0.3044675E+00 -0.2069198E+00 -0.1005163E+00  0.5714553E-02  0.1026870E+00  0.1863049E+00  0.2584599E+00  0.3245089E+00  0.3898512E+00  0.4575608E+00  0.5277281E+00
 0.1020000E+00 -0.4716558E+00 -0.3965838E+00 -0.3103004E+00 -0.2109079E+00 -0.1024799E+00  0.5822756E-02  0.1047379E+00  0.1900400E+00  0.2636125E+00  0.3309029E+00  0.3974270E+00  0.4663640E+00  0.5378561E+00
 0.1040000E+00 -0.4805298E+00 -0.4040204E+00 -0.3161193E+00 -0.2148876E+00 -0.1044406E+00  0.5930951E-02  0.1067886E+00  0.1937750E+00  0.2687641E+00  0.3372928E+00  0.4049930E+00  0.4751483E+00  0.5479590E+00
 0.1060000E+00 -0.4893849E+00 -0.4114395E+00 -0.3219240E+00 -0.2188588E+00 -0.1063983E+00  0.6039158E-02  0.1088391E+00  0.1975100E+00  0.2739147E+00  0.3436786E+00  0.4125494E+00  0.4839134E+00  0.5580366E+00
 0.1080000E+00 -0.4982205E+00 -0.4188409E+00 -0.3277142E+00 -0.2228215E+00 -0.1083529E+00  0.6147397E-02  0.1108894E+00  0.2012450E+00  0.2790643E+00  0.3500601E+00  0.4200961E+00  0.4926591E+00  0.5680888E+00
 0.1100000E+00 -0.5070363E+00 -0.4262244E+00 -0.3334898E+00 -0.2267755E+00 -0.1103044E+00  0.6255684E-02  0.1129393E+00  0.2049799E+00  0.2842128E+00  0.3564374E+00  0.4276330E+00  0.5013852E+00  0.5781156E+00
 0.1120000E+00 -0.5158319E+00 -0.4335898E+00 -0.3392505E+00 -0.2307205E+00 -0.1122526E+00  0.6364038E-02  0.1149889E+00  0.2087147E+00  0.2893601E+00  0.3628103E+00  0.4351603E+00  0.5100915E+00  0.5881168E+00
 0.1140000E+00 -0.5246068E+00 -0.4409369E+00 -0.3449961E+00 -0.2346567E+00 -0.1141974E+00  0.6472477E-02  0.1170381E+00  0.2124494E+00  0.2945064E+00  0.3691788E+00  0.4426780E+00  0.5187779E+00  0.5980926E+00
 0.1160000E+00 -0.5333605E+00 -0.4482656E+00 -0.3507266E+00 -0.2385836E+00 -0.1161388E+00  0.6581015E-02  0.1190869E+00  0.2161838E+00  0.2996515E+00  0.3755427E+00  0.4501860E+00  0.5274441E+00  0.6080432E+00
 0.1180000E+00 -0.5420926E+00 -0.4555756E+00 -0.3564416E+00 -0.2425014E+00 -0.1180767E+00  0.6689669E-02  0.1211352E+00  0.2199181E+00  0.3047955E+00  0.3819021E+00  0.4576843E+00  0.5360900E+00  0.6179688E+00
 0.1200000E+00 -0.5508025E+00 -0.4628667E+00 -0.3621410E+00 -0.2464097E+00 -0.1200109E+00  0.6798454E-02  0.1231829E+00  0.2236522E+00  0.3099384E+00  0.3882567E+00  0.4651729E+00  0.5447156E+00  0.6278699E+00
 0.1220000E+00 -0.5594898E+00 -0.4701389E+00 -0.3678246E+00 -0.2503085E+00 -0.1219413E+00  0.6907381E-02  0.1252300E+00  0.2273861E+00  0.3150802E+00  0.3946066E+00  0.4726518E+00  0.5533208E+00  0.6377467E+00
 0.1240000E+00 -0.5681538E+00 -0.4773918E+00 -0.3734923E+00 -0.2541976E+00 -0.1238679E+00  0.7016465E-02  0.1272765E+00  0.2311197E+00  0.3202209E+00  0.4009515E+00  0.4801209E+00  0.5619055E+00  0.6475999E+00
 0.1260000E+00 -0.5767940E+00 -0.4846254E+00 -0.3791438E+00 -0.2580770E+00 -0.1257905E+00  0.7125717E-02  0.1293222E+00  0.2348530E+00  0.3253605E+00  0.4072915E+00  0.4875802E+00  0.5704697E+00  0.6574300E+00
 0.1280000E+00 -0.5854098E+00 -0.4918393E+00 -0.3847790E+00 -0.2619464E+00 -0.1277091E+00  0.7235146E-02  0.1313671E+00  0.2385860E+00  0.3304990E+00  0.4136263E+00  0.4950295E+00  0.5790134E+00  0.6672377E+00
 0.1300000E+00 -0.5940006E+00 -0.4990335E+00 -0.3903978E+00 -0.2658057E+00 -0.1296234E+00  0.7344763E-02  0.1334111E+00  0.2423188E+00  0.3356365E+00  0.4199560E+00  0.5024688E+00  0.5875366E+00  0.6770238E+00
 0.1320000E+00 -0.6025659E+00 -0.5062076E+00 -0.3960000E+00 -0.2696548E+00 -0.1315335E+00  0.7454576E-02  0.1354542E+00  0.2460512E+00  0.3407729E+00  0.4262803E+00  0.5098978E+00  0.5960393E+00  0.6867891E+00
 0.1340000E+00 -0.6111051E+00 -0.5133616E+00 -0.4015854E+00 -0.2734935E+00 -0.1334392E+00  0.7564592E-02  0.1374962E+00  0.2497832E+00  0.3459084E+00  0.4325993E+00  0.5173165E+00  0.6045216E+00  0.6965343E+00
 0.1360000E+00 -0.6196175E+00 -0.5204952E+00 -0.4071539E+00 -0.2773217E+00 -0.1353403E+00  0.7674816E-02  0.1395371E+00  0.2535150E+00  0.3510430E+00  0.4389127E+00  0.5247248E+00  0.6129837E+00  0.7062605E+00
 0.1380000E+00 -0.6281025E+00 -0.5276081E+00 -0.4127054E+00 -0.2811393E+00 -0.1372369E+00  0.7785254E-02  0.1415768E+00  0.2572463E+00  0.3561767E+00  0.4452205E+00  0.5321222E+00  0.6214256E+00  0.7159684E+00
 0.1400000E+00 -0.6365597E+00 -0.5347002E+00 -0.4182396E+00 -0.2849460E+00 -0.1391286E+00  0.7895910E-02  0.1436153E+00  0.2609773E+00  0.3613096E+00  0.4515227E+00  0.5395088E+00  0.6298475E+00  0.7256590E+00
 0.1420000E+00 -0.6449885E+00 -0.5417712E+00 -0.4237566E+00 -0.2887418E+00 -0.1410156E+00  0.8006787E-02  0.1456523E+00  0.2647079E+00  0.3664418E+00  0.4578191E+00  0.5468841E+00  0.6382496E+00  0.7353332E+00
 0.1440000E+00 -0.6533882E+00 -0.5488209E+00 -0.4292562E+00 -0.2925264E+00 -0.1428975E+00  0.8117885E-02  0.1476878E+00  0.2684381E+00  0.3715733E+00  0.4641096E+00  0.5542479E+00  0.6466321E+00  0.7449919E+00
 0.1460000E+00 -0.6617585E+00 -0.5558490E+00 -0.4347382E+00 -0.2962998E+00 -0.1447744E+00  0.8229207E-02  0.1497217E+00  0.2721679E+00  0.3767042E+00  0.4703943E+00  0.5615999E+00  0.6549952E+00  0.7546358E+00
 0.1480000E+00 -0.6700988E+00 -0.5628554E+00 -0.4402025E+00 -0.3000618E+00 -0.1466461E+00  0.8340751E-02  0.1517540E+00  0.2758973E+00  0.3818345E+00  0.4766730E+00  0.5689397E+00  0.6633392E+00  0.7642658E+00
 0.1500000E+00 -0.6784087E+00 -0.5698396E+00 -0.4456491E+00 -0.3038122E+00 -0.1485124E+00  0.8452517E-02  0.1537845E+00  0.2796261E+00  0.3869645E+00  0.4829457E+00  0.5762671E+00  0.6716643E+00  0.7738824E+00
 0.1520000E+00 -0.6866878E+00 -0.5768016E+00 -0.4510778E+00 -0.3075508E+00 -0.1503733E+00  0.8564503E-02  0.1558130E+00  0.2833546E+00  0.3920942E+00  0.4892125E+00  0.5835815E+00  0.6799707E+00  0.7834862E+00
 0.1540000E+00 -0.6949357E+00 -0.5837410E+00 -0.4564885E+00 -0.3112776E+00 -0.1522287E+00  0.8676705E-02  0.1578396E+00  0.2870825E+00  0.3972237E+00  0.4954732E+00  0.5908826E+00  0.6882589E+00  0.7930776E+00
 0.1560000E+00 -0.7031521E+00 -0.5906575E+00 -0.4618811E+00 -0.3149923E+00 -0.1540784E+00  0.8789121E-02  0.1598641E+00  0.2908099E+00  0.4023531E+00  0.5017279E+00  0.5981699E+00  0.6965290E+00  0.8026569E+00
 0.1580000E+00 -0.7113367E+00 -0.5975509E+00 -0.4672555E+00 -0.3186948E+00 -0.1559223E+00  0.8901745E-02  0.1618863E+00  0.2945367E+00  0.4074825E+00  0.5079767E+00  0.6054429E+00  0.7047813E+00  0.8122242E+00
 0.1600000E+00 -0.7194894E+00 -0.6044209E+00 -0.4726117E+00 -0.3223849E+00 -0.1577604E+00  0.9014574E-02  0.1639062E+00  0.2982630E+00  0.4126121E+00  0.5142195E+00  0.6127012E+00  0.7130162E+00  0.8217793E+00
 0.1620000E+00 -0.7276099E+00 -0.6112673E+00 -0.4779495E+00 -0.3260625E+00 -0.1595924E+00  0.9127602E-02  0.1659236E+00  0.3019886E+00  0.4177420E+00  0.5204565E+00  0.6199443E+00  0.7212340E+00  0.8313218E+00
 0.1640000E+00 -0.7356983E+00 -0.6180896E+00 -0.4832688E+00 -0.3297273E+00 -0.1614183E+00  0.9240822E-02  0.1679384E+00  0.3057136E+00  0.4228723E+00  0.5266878E+00  0.6271716E+00  0.7294348E+00  0.8408512E+00
 0.1660000E+00 -0.7437543E+00 -0.6248877E+00 -0.4885696E+00 -0.3333793E+00 -0.1632380E+00  0.9354230E-02  0.1699505E+00  0.3094379E+00  0.4280031E+00  0.5329134E+00  0.6343826E+00  0.7376190E+00  0.8503666E+00
 0.1680000E+00 -0.7517782E+00 -0.6316613E+00 -0.4938517E+00 -0.3370183E+00 -0.1650513E+00  0.9467819E-02  0.1719598E+00  0.3131614E+00  0.4331347E+00  0.5391335E+00  0.6415767E+00  0.7457868E+00  0.8598667E+00
 0.1700000E+00 -0.7597699E+00 -0.6384101E+00 -0.4991152E+00 -0.3406441E+00 -0.1668581E+00  0.9581582E-02  0.1739662E+00  0.3168840E+00  0.4382671E+00  0.5453483E+00  0.6487534E+00  0.7539384E+00  0.8693503E+00
 0.1720000E+00 -0.7677296E+00 -0.6451337E+00 -0.5043598E+00 -0.3442565E+00 -0.1686584E+00  0.9695513E-02  0.1759695E+00  0.3206059E+00  0.4434005E+00  0.5515580E+00  0.6559121E+00  0.7620740E+00  0.8788154E+00
 0.1740000E+00 -0.7756574E+00 -0.6518320E+00 -0.5095855E+00 -0.3478554E+00 -0.1704521E+00  0.9809605E-02  0.1779696E+00  0.3243267E+00  0.4485351E+00  0.5577627E+00  0.6630523E+00  0.7701936E+00  0.8882601E+00
 0.1760000E+00 -0.7835538E+00 -0.6585046E+00 -0.5147922E+00 -0.3514406E+00 -0.1722389E+00  0.9923852E-02  0.1799664E+00  0.3280465E+00  0.4536709E+00  0.5639629E+00  0.6701734E+00  0.7782974E+00  0.8976817E+00
 0.1780000E+00 -0.7914189E+00 -0.6651514E+00 -0.5199799E+00 -0.3550119E+00 -0.1740188E+00  0.1003825E-01  0.1819597E+00  0.3317652E+00  0.4588083E+00  0.5701586E+00  0.6772748E+00  0.7863853E+00  0.9070776E+00
 0.1800000E+00 -0.7992532E+00 -0.6717719E+00 -0.5251483E+00 -0.3585693E+00 -0.1757917E+00  0.1015279E-01  0.1839494E+00  0.3354827E+00  0.4639472E+00  0.5763503E+00  0.6843561E+00  0.7944574E+00  0.9164446E+00
 0.1820000E+00 -0.8070571E+00 -0.6783661E+00 -0.5302976E+00 -0.3621125E+00 -0.1775575E+00  0.1026746E-01  0.1859355E+00  0.3391989E+00  0.4690879E+00  0.5825382E+00  0.6914167E+00  0.8025134E+00  0.9257793E+00
 0.1840000E+00 -0.8148310E+00 -0.6849335E+00 -0.5354274E+00 -0.3656414E+00 -0.1793161E+00  0.1038228E-01  0.1879177E+00  0.3429137E+00  0.4742306E+00  0.5887228E+00  0.6984562E+00  0.8105531E+00  0.9350777E+00
 0.1860000E+00 -0.8225754E+00 -0.6914741E+00 -0.5405378E+00 -0.3691558E+00 -0.1810674E+00  0.1049721E-01  0.1898960E+00  0.3466269E+00  0.4793753E+00  0.5949045E+00  0.7054741E+00  0.8185763E+00  0.9443359E+00
 0.1880000E+00 -0.8302909E+00 -0.6979876E+00 -0.5456286E+00 -0.3726556E+00 -0.1828112E+00  0.1061228E-01  0.1918701E+00  0.3503384E+00  0.4845222E+00  0.6010836E+00  0.7124700E+00  0.8265825E+00  0.9535492E+00
 0.1900000E+00 -0.8379781E+00 -0.7044737E+00 -0.5506997E+00 -0.3761407E+00 -0.1845475E+00  0.1072747E-01  0.1938401E+00  0.3540482E+00  0.4896715E+00  0.6072606E+00  0.7194435E+00  0.8345712E+00  0.9627129E+00
 0.1920000E+00 -0.8456374E+00 -0.7109324E+00 -0.5557510E+00 -0.3796108E+00 -0.1862761E+00  0.1084278E-01  0.1958056E+00  0.3577560E+00  0.4948233E+00  0.6134361E+00  0.7263943E+00  0.8425419E+00  0.9718221E+00
 0.1940000E+00 -0.8532696E+00 -0.7173634E+00 -0.5607824E+00 -0.3830658E+00 -0.1879970E+00  0.1095821E-01  0.1977668E+00  0.3614617E+00  0.4999777E+00  0.6196105E+00  0.7333222E+00  0.8504937E+00  0.9808714E+00
