 0.1100000E+00 -0.1950523E-01 -0.1891415E-01 -0.1832306E-01 -0.1773198E-01 -0.1714090E-01 -0.1654981E-01 -0.1595873E-01 -0.1536765E-01 -0.1477656E-01 -0.1418548E-01 -0.1359440E-01 -0.1300331E-01 -0.1241223E-01 -0.1182115E-01 -0.1123006E-01 -0.1063898E-01 -0.1004790E-01 -0.9456814E-02 -0.8865731E-02 -0.8274647E-02 -0.7683564E-02 -0.7092481E-02 -0.6501398E-02 -0.5910314E-02 -0.5319231E-02 -0.4728148E-02 -0.4137064E-02 -0.3545981E-02 -0.2954898E-02 -0.2363814E-02 -0.1772731E-02 -0.1181648E-02 -0.5905646E-03  0.5186467E-06  0.5916020E-03  0.1182686E-02  0.1773769E-02  0.2364852E-02  0.2955935E-02  0.3547018E-02
 0.1200000E+00 -0.2127845E-01 -0.2063363E-01 -0.1998881E-01 -0.1934399E-01 -0.1869917E-01 -0.1805435E-01 -0.1740953E-01 -0.1676471E-01 -0.1611990E-01 -0.1547508E-01 -0.1483026E-01 -0.1418544E-01 -0.1354062E-01 -0.1289580E-01 -0.1225098E-01 -0.1160616E-01 -0.1096135E-01 -0.1031653E-01 -0.9671707E-02 -0.9026888E-02 -0.8382070E-02 -0.7737251E-02 -0.7092432E-02 -0.6447613E-02 -0.5802794E-02 -0.5157975E-02 -0.4513156E-02 -0.3868338E-02 -0.3223519E-02 -0.2578700E-02 -0.1933881E-02 -0.1289062E-02 -0.6442431E-03  0.5757068E-06  0.6453946E-03  0.1290214E-02  0.1935032E-02  0.2579851E-02  0.3224670E-02  0.3869489E-02
 0.1300000E+00 -0.2305166E-01 -0.2235310E-01 -0.2165455E-01 -0.2095600E-01 -0.2025744E-01 -0.1955889E-01 -0.1886033E-01 -0.1816178E-01 -0.1746323E-01 -0.1676467E-01 -0.1606612E-01 -0.1536756E-01 -0.1466901E-01 -0.1397045E-01 -0.1327190E-01 -0.1257335E-01 -0.1187479E-01 -0.1117624E-01 -0.1047768E-01 -0.9779129E-02 -0.9080575E-02 -0.8382021E-02 -0.7683467E-02 -0.6984913E-02 -0.6286358E-02 -0.5587804E-02 -0.4889250E-02 -0.4190696E-02 -0.3492142E-02 -0.2793587E-02 -0.2095033E-02 -0.1396479E-02 -0.6979247E-03  0.6293711E-06  0.6991836E-03  0.1397738E-02  0.2096292E-02  0.2794846E-02  0.3493400E-02  0.4191954E-02
 0.1400000E+00 -0.2482488E-01 -0.2407259E-01 -0.2332030E-01 -0.2256801E-01 -0.2181572E-01 -0.2106343E-01 -0.2031114E-01 -0.1955885E-01 -0.1880656E-01 -0.1805427E-01 -0.1730198E-01 -0.1654969E-01 -0.1579740E-01 -0.1504511E-01 -0.1429282E-01 -0.1354053E-01 -0.1278824E-01 -0.1203595E-01 -0.1128366E-01 -0.1053137E-01 -0.9779081E-02 -0.9026791E-02 -0.8274501E-02 -0.7522211E-02 -0.6769921E-02 -0.6017631E-02 -0.5265342E-02 -0.4513052E-02 -0.3760762E-02 -0.3008472E-02 -0.2256182E-02 -0.1503892E-02 -0.7516025E-03  0.6872595E-06  0.7529771E-03  0.1505267E-02  0.2257557E-02  0.3009846E-02  0.3762136E-02  0.4514426E-02
 0.1500000E+00 -0.2659808E-01 -0.2579206E-01 -0.2498603E-01 -0.2418001E-01 -0.2337398E-01 -0.2256796E-01 -0.2176193E-01 -0.2095591E-01 -0.2014988E-01 -0.1934386E-01 -0.1853783E-01 -0.1773181E-01 -0.1692578E-01 -0.1611976E-01 -0.1531374E-01 -0.1450771E-01 -0.1370169E-01 -0.1289566E-01 -0.1208964E-01 -0.1128361E-01 -0.1047759E-01 -0.9671561E-02 -0.8865537E-02 -0.8059512E-02 -0.7253487E-02 -0.6447462E-02 -0.5641437E-02 -0.4835413E-02 -0.4029388E-02 -0.3223363E-02 -0.2417338E-02 -0.1611313E-02 -0.8052884E-03  0.7363791E-06  0.8067611E-03  0.1612786E-02  0.2418811E-02  0.3224835E-02  0.4030860E-02  0.4836885E-02
 0.1600000E+00 -0.2837129E-01 -0.2751153E-01 -0.2665177E-01 -0.2579201E-01 -0.2493225E-01 -0.2407249E-01 -0.2321273E-01 -0.2235297E-01 -0.2149321E-01 -0.2063345E-01 -0.1977369E-01 -0.1891393E-01 -0.1805417E-01 -0.1719441E-01 -0.1633465E-01 -0.1547489E-01 -0.1461513E-01 -0.1375537E-01 -0.1289561E-01 -0.1203585E-01 -0.1117609E-01 -0.1031633E-01 -0.9456572E-02 -0.8596812E-02 -0.7737052E-02 -0.6877292E-02 -0.6017532E-02 -0.5157772E-02 -0.4298012E-02 -0.3438251E-02 -0.2578492E-02 -0.1718731E-02 -0.8589714E-03  0.7886512E-06  0.8605486E-03  0.1720309E-02  0.2580069E-02  0.3439829E-02  0.4299589E-02  0.5159349E-02
 0.1700000E+00 -0.3014451E-01 -0.2923101E-01 -0.2831752E-01 -0.2740402E-01 -0.2649053E-01 -0.2557703E-01 -0.2466354E-01 -0.2375004E-01 -0.2283654E-01 -0.2192305E-01 -0.2100955E-01 -0.2009606E-01 -0.1918256E-01 -0.1826907E-01 -0.1735557E-01 -0.1644208E-01 -0.1552858E-01 -0.1461508E-01 -0.1370159E-01 -0.1278809E-01 -0.1187460E-01 -0.1096110E-01 -0.1004761E-01 -0.9134110E-02 -0.8220615E-02 -0.7307119E-02 -0.6393624E-02 -0.5480128E-02 -0.4566632E-02 -0.3653137E-02 -0.2739641E-02 -0.1826145E-02 -0.9126498E-03  0.8458036E-06  0.9143413E-03  0.1827837E-02  0.2741333E-02  0.3654828E-02  0.4568324E-02  0.5481819E-02
 0.1800000E+00 -0.3191773E-01 -0.3095050E-01 -0.2998327E-01 -0.2901604E-01 -0.2804881E-01 -0.2708157E-01 -0.2611434E-01 -0.2514711E-01 -0.2417988E-01 -0.2321265E-01 -0.2224542E-01 -0.2127819E-01 -0.2031095E-01 -0.1934372E-01 -0.1837649E-01 -0.1740926E-01 -0.1644203E-01 -0.1547480E-01 -0.1450757E-01 -0.1354033E-01 -0.1257310E-01 -0.1160587E-01 -0.1063864E-01 -0.9671408E-02 -0.8704177E-02 -0.7736945E-02 -0.6769714E-02 -0.5802482E-02 -0.4835251E-02 -0.3868019E-02 -0.2900788E-02 -0.1933557E-02 -0.9663251E-03  0.9062740E-06  0.9681377E-03  0.1935369E-02  0.2902600E-02  0.3869832E-02  0.4837063E-02  0.5804295E-02
 0.1900000E+00 -0.3369095E-01 -0.3266998E-01 -0.3164901E-01 -0.3062805E-01 -0.2960708E-01 -0.2858611E-01 -0.2756514E-01 -0.2654418E-01 -0.2552321E-01 -0.2450224E-01 -0.2348128E-01 -0.2246031E-01 -0.2143934E-01 -0.2041838E-01 -0.1939741E-01 -0.1837644E-01 -0.1735548E-01 -0.1633451E-01 -0.1531354E-01 -0.1429257E-01 -0.1327161E-01 -0.1225064E-01 -0.1122967E-01 -0.1020871E-01 -0.9187740E-02 -0.8166773E-02 -0.7145806E-02 -0.6124839E-02 -0.5103872E-02 -0.4082905E-02 -0.3061939E-02 -0.2040972E-02 -0.1020005E-02  0.9622822E-06  0.1021929E-02  0.2042897E-02  0.3063863E-02  0.4084830E-02  0.5105797E-02  0.6126764E-02
 0.2000000E+00 -0.3546415E-01 -0.3438945E-01 -0.3331475E-01 -0.3224004E-01 -0.3116534E-01 -0.3009064E-01 -0.2901594E-01 -0.2794124E-01 -0.2686654E-01 -0.2579183E-01 -0.2471713E-01 -0.2364243E-01 -0.2256773E-01 -0.2149303E-01 -0.2041832E-01 -0.1934362E-01 -0.1826892E-01 -0.1719422E-01 -0.1611952E-01 -0.1504482E-01 -0.1397011E-01 -0.1289541E-01 -0.1182071E-01 -0.1074601E-01 -0.9671306E-02 -0.8596604E-02 -0.7521902E-02 -0.6447201E-02 -0.5372499E-02 -0.4297797E-02 -0.3223095E-02 -0.2148393E-02 -0.1073691E-02  0.1010571E-05  0.1075712E-02  0.2150415E-02  0.3225116E-02  0.4299818E-02  0.5374520E-02  0.6449221E-02
