 0.1100000E+01  0.8309475E+00  0.6120449E+00  0.4392113E+00  0.3046357E+00  0.2017882E+00  0.1252136E+00  0.7035809E-01  0.3342327E-01  0.1124370E-01  0.1183868E-02  0.1051778E-02  0.9026379E-02  0.2359671E-01  0.4351086E-01  0.6773318E-01  0.9540844E-01  0.1258318E+00  0.1584236E+00  0.1927084E+00  0.2282976E+00
 0.1200000E+01  0.9063867E+00  0.6676252E+00  0.4791050E+00  0.3323106E+00  0.2201223E+00  0.1365914E+00  0.7675161E-01  0.3646039E-01  0.1226512E-01  0.1291081E-02  0.1147225E-02  0.9847076E-02  0.2574237E-01  0.4746741E-01  0.7389239E-01  0.1040843E+00  0.1372742E+00  0.1728298E+00  0.2102324E+00  0.2490579E+00
 0.1300000E+01  0.9817994E+00  0.7231898E+00  0.5189896E+00  0.3599805E+00  0.2384537E+00  0.1479677E+00  0.8314443E-01  0.3949716E-01  0.1328635E-01  0.1398185E-02  0.1242628E-02  0.1066780E-01  0.2788816E-01  0.5142422E-01  0.8005202E-01  0.1127608E+00  0.1487175E+00  0.1872371E+00  0.2277577E+00  0.2698197E+00
 0.1400000E+01  0.1057183E+01  0.7787374E+00  0.5588644E+00  0.3876449E+00  0.2567821E+00  0.1593426E+00  0.8953649E-01  0.4253354E-01  0.1430737E-01  0.1505174E-02  0.1337983E-02  0.1148856E-01  0.3003410E-01  0.5538132E-01  0.8621211E-01  0.1214379E+00  0.1601617E+00  0.2016455E+00  0.2452843E+00  0.2905833E+00
 0.1500000E+01  0.1132537E+01  0.8342667E+00  0.5987287E+00  0.4153034E+00  0.2751074E+00  0.1707158E+00  0.9592774E-01  0.4556951E-01  0.1532817E-01  0.1612037E-02  0.1433287E-02  0.1230936E-01  0.3218019E-01  0.5933872E-01  0.9237270E-01  0.1301158E+00  0.1716068E+00  0.2160552E+00  0.2628125E+00  0.3113487E+00
 0.1600000E+01  0.1207857E+01  0.8897764E+00  0.6385818E+00  0.4429557E+00  0.2934294E+00  0.1820873E+00  0.1023181E+00  0.4860504E-01  0.1634873E-01  0.1718765E-02  0.1528535E-02  0.1313020E-01  0.3432644E-01  0.6329646E-01  0.9853383E-01  0.1387945E+00  0.1830530E+00  0.2304662E+00  0.2803424E+00  0.3321160E+00
 0.1700000E+01  0.1283142E+01  0.9452652E+00  0.6784227E+00  0.4706013E+00  0.3117478E+00  0.1934569E+00  0.1087076E+00  0.5164010E-01  0.1736904E-01  0.1825350E-02  0.1623725E-02  0.1395107E-01  0.3647287E-01  0.6725455E-01  0.1046955E+00  0.1474739E+00  0.1945003E+00  0.2448786E+00  0.2978740E+00  0.3528854E+00
 0.1800000E+01  0.1358389E+01  0.1000732E+01  0.7182510E+00  0.4982398E+00  0.3300623E+00  0.2048246E+00  0.1150960E+00  0.5467465E-01  0.1838907E-01  0.1931783E-02  0.1718852E-02  0.1477199E-01  0.3861948E-01  0.7121301E-01  0.1108578E+00  0.1561543E+00  0.2059488E+00  0.2592925E+00  0.3154074E+00  0.3736570E+00
 0.1900000E+01  0.1433598E+01  0.1056175E+01  0.7580657E+00  0.5258707E+00  0.3483729E+00  0.2161902E+00  0.1214835E+00  0.5770867E-01  0.1940882E-01  0.2038055E-02  0.1813913E-02  0.1559296E-01  0.4076630E-01  0.7517186E-01  0.1170208E+00  0.1648356E+00  0.2173985E+00  0.2737081E+00  0.3329428E+00  0.3944310E+00
 0.2000000E+01  0.1508764E+01  0.1111593E+01  0.7978661E+00  0.5534937E+00  0.3666791E+00  0.2275536E+00  0.1278698E+00  0.6074214E-01  0.2042826E-01  0.2144157E-02  0.1908903E-02  0.1641397E-01  0.4291332E-01  0.7913114E-01  0.1231844E+00  0.1735178E+00  0.2288495E+00  0.2881253E+00  0.3504803E+00  0.4152074E+00
 0.2100000E+01  0.1583886E+01  0.1166986E+01  0.8376515E+00  0.5811083E+00  0.3849809E+00  0.2389147E+00  0.1342549E+00  0.6377501E-01  0.2144739E-01  0.2250079E-02  0.2003821E-02  0.1723503E-01  0.4506056E-01  0.8309086E-01  0.1293487E+00  0.1822011E+00  0.2403020E+00  0.3025442E+00  0.3680199E+00  0.4359864E+00
 0.2200000E+01  0.1658963E+01  0.1222351E+01  0.8774211E+00  0.6087142E+00  0.4032780E+00  0.2502734E+00  0.1406389E+00  0.6680727E-01  0.2246618E-01  0.2355814E-02  0.2098660E-02  0.1805615E-01  0.4720803E-01  0.8705103E-01  0.1355138E+00  0.1908855E+00  0.2517558E+00  0.3169651E+00  0.3855619E+00  0.4567682E+00
 0.2300000E+01  0.1733991E+01  0.1277687E+01  0.9171743E+00  0.6363109E+00  0.4215702E+00  0.2616295E+00  0.1470215E+00  0.6983887E-01  0.2348463E-01  0.2461351E-02  0.2193419E-02  0.1887732E-01  0.4935574E-01  0.9101170E-01  0.1416797E+00  0.1995710E+00  0.2632112E+00  0.3313879E+00  0.4031062E+00  0.4775528E+00
