 0.3100000E-01 -0.6622172E-01 -0.7365895E-01 -0.7730320E-01 -0.7868433E-01 -0.7905385E-01 -0.7908002E-01 -0.7901759E-01 -0.7893915E-01 -0.7886769E-01 -0.7884118E-01 -0.7897183E-01 -0.7950545E-01 -0.8078058E-01 -0.8294673E-01
 0.3200000E-01 -0.6808222E-01 -0.7572270E-01 -0.7947251E-01 -0.8089485E-01 -0.8127447E-01 -0.8129968E-01 -0.8123358E-01 -0.8115128E-01 -0.8107653E-01 -0.8104839E-01 -0.8118199E-01 -0.8172882E-01 -0.8303377E-01 -0.8524642E-01
 0.3300000E-01 -0.6996290E-01 -0.7780319E-01 -0.8165280E-01 -0.8310874E-01 -0.8348950E-01 -0.8350381E-01 -0.8342328E-01 -0.8332557E-01 -0.8323518E-01 -0.8319227E-01 -0.8331473E-01 -0.8385916E-01 -0.8517547E-01 -0.8741161E-01
 0.3400000E-01 -0.7177238E-01 -0.7980964E-01 -0.8376275E-01 -0.8525938E-01 -0.8564992E-01 -0.8566291E-01 -0.8557830E-01 -0.8547627E-01 -0.8538211E-01 -0.8533702E-01 -0.8546173E-01 -0.8601815E-01 -0.8736179E-01 -0.8963977E-01
 0.3500000E-01 -0.7357944E-01 -0.8180626E-01 -0.8585429E-01 -0.8738181E-01 -0.8777132E-01 -0.8777129E-01 -0.8767012E-01 -0.8755057E-01 -0.8743869E-01 -0.8737674E-01 -0.8748809E-01 -0.8803923E-01 -0.8938971E-01 -0.9168395E-01
 0.3600000E-01 -0.7533590E-01 -0.8375308E-01 -0.8790231E-01 -0.8946978E-01 -0.8986861E-01 -0.8986668E-01 -0.8976079E-01 -0.8963625E-01 -0.8951985E-01 -0.8945491E-01 -0.8956751E-01 -0.9012908E-01 -0.9150397E-01 -0.9383484E-01
 0.3700000E-01 -0.7706731E-01 -0.8566365E-01 -0.8990293E-01 -0.9149873E-01 -0.9189452E-01 -0.9187764E-01 -0.9175329E-01 -0.9160936E-01 -0.9147344E-01 -0.9138986E-01 -0.9148721E-01 -0.9204101E-01 -0.9341868E-01 -0.9575907E-01
 0.3800000E-01 -0.7876907E-01 -0.8754881E-01 -0.9188675E-01 -0.9352159E-01 -0.9392602E-01 -0.9390650E-01 -0.9377659E-01 -0.9362675E-01 -0.9348533E-01 -0.9339769E-01 -0.9349501E-01 -0.9405739E-01 -0.9545620E-01 -0.9782746E-01
 0.3900000E-01 -0.8042388E-01 -0.8937240E-01 -0.9379565E-01 -0.9545644E-01 -0.9585609E-01 -0.9581996E-01 -0.9566998E-01 -0.9549921E-01 -0.9533681E-01 -0.9522913E-01 -0.9530972E-01 -0.9586232E-01 -0.9726037E-01 -0.9963499E-01
 0.4000000E-01 -0.8206977E-01 -0.9119440E-01 -0.9571351E-01 -0.9741225E-01 -0.9781972E-01 -0.9778002E-01 -0.9762345E-01 -0.9744567E-01 -0.9727659E-01 -0.9716357E-01 -0.9724264E-01 -0.9780173E-01 -0.9921731E-01 -0.1016166E+00
 0.4100000E-01 -0.8364824E-01 -0.9293143E-01 -0.9753131E-01 -0.9925390E-01 -0.9965516E-01 -0.9959755E-01 -0.9941967E-01 -0.9921982E-01 -0.9902871E-01 -0.9889470E-01 -0.9895604E-01 -0.9950385E-01 -0.1009157E+00 -0.1033128E+00
 0.4200000E-01 -0.8523764E-01 -0.9468939E-01 -0.9938214E-01 -0.1011414E+00 -0.1015496E+00 -0.1014873E+00 -0.1013017E+00 -0.1010936E+00 -0.1008945E+00 -0.1007538E+00 -0.1008120E+00 -0.1013640E+00 -0.1027896E+00 -0.1052048E+00
