 0.3280000E+02  0.4105977E+02 -0.3979911E+01  0.1501422E+02  0.5209407E+02
 0.3320000E+02  0.4097198E+02 -0.3979834E+01  0.1501604E+02  0.5200819E+02
 0.3360000E+02  0.4088016E+02 -0.3979756E+01  0.1501788E+02  0.5191828E+02
 0.3400000E+02  0.4078450E+02 -0.3979677E+01  0.1501970E+02  0.5182452E+02
 0.3440000E+02  0.4068522E+02 -0.3979597E+01  0.1502154E+02  0.5172716E+02
 0.3480000E+02  0.4058251E+02 -0.3979515E+01  0.1502334E+02  0.5162633E+02
 0.3520000E+02  0.4047656E+02 -0.3979432E+01  0.1502517E+02  0.5152229E+02
 0.3560000E+02  0.4036753E+02 -0.3979348E+01  0.1502697E+02  0.5141516E+02
 0.3600000E+02  0.4025561E+02 -0.3979263E+01  0.1502873E+02  0.5130507E+02
 0.3640000E+02  0.4014095E+02 -0.3979176E+01  0.1503055E+02  0.5119232E+02
 0.3680000E+02  0.4002370E+02 -0.3979089E+01  0.1503233E+02  0.5107694E+02
 0.3720000E+02  0.3990402E+02 -0.3979001E+01  0.1503406E+02  0.5095907E+02
 0.3760000E+02  0.3978203E+02 -0.3978911E+01  0.1503586E+02  0.5083897E+02
 0.3800000E+02  0.3965788E+02 -0.3978820E+01  0.1503760E+02  0.5071665E+02
 0.3840000E+02  0.3953168E+02 -0.3978729E+01  0.1503933E+02  0.5059229E+02
 0.3880000E+02  0.3940357E+02 -0.3978636E+01  0.1504105E+02  0.5046598E+02
 0.3920000E+02  0.3927366E+02 -0.3978542E+01  0.1504277E+02  0.5033789E+02
 0.3960000E+02  0.3914205E+02 -0.3978448E+01  0.1504448E+02  0.5020808E+02
 0.4000000E+02  0.3900885E+02 -0.3978352E+01  0.1504620E+02  0.5007670E+02
 0.4040000E+02  0.3887417E+02 -0.3978255E+01  0.1504783E+02  0.4994375E+02
 0.4080000E+02  0.3873810E+02 -0.3978158E+01  0.1504949E+02  0.4980943E+02
 0.4120000E+02  0.3860072E+02 -0.3978060E+01  0.1505117E+02  0.4967383E+02
 0.4160000E+02  0.3846214E+02 -0.3977960E+01  0.1505281E+02  0.4953699E+02
 0.4200000E+02  0.3832242E+02 -0.3977860E+01  0.1505442E+02  0.4939898E+02
 0.4240000E+02  0.3818166E+02 -0.3977759E+01  0.1505602E+02  0.4925992E+02
 0.4280000E+02  0.3803992E+02 -0.3977657E+01  0.1505762E+02  0.4911989E+02
 0.4320000E+02  0.3789728E+02 -0.3977554E+01  0.1505919E+02  0.4897892E+02
 0.4360000E+02  0.3775382E+02 -0.3977451E+01  0.1506072E+02  0.4883709E+02
